from_id,to_id,direct,hops
74781,84516,False,2
75066,70836,True,1
75412,90276,True,1
75412,86256,False,2
75485,56653,True,1
75485,64419,False,2
75523,55916,True,1
75523,88587,False,2
75566,88059,True,1
75566,88816,False,2
75566,85934,False,3
75566,85250,False,4
75599,66836,True,1
75631,79252,True,1
75631,85288,False,2
75737,88587,True,1
75982,90228,True,1
76305,39312,True,1
76305,50334,False,2
76305,28395,False,3
76305,90276,False,4
76305,86256,False,5
76440,85250,True,1
76569,90228,True,1
76658,88816,True,1
76658,85934,False,2
76658,85250,False,3
76790,88059,True,1
76790,88816,False,2
76790,85934,False,3
76790,85250,False,4
76915,63066,True,1
76915,90228,False,2
76988,84513,True,1
77000,90381,True,1
77000,89585,False,2
77037,66079,True,1
77108,88059,True,1
77108,88816,False,2
77108,85934,False,3
77108,85250,False,4
77410,90276,True,1
77410,86256,False,2
77515,53419,True,1
77811,79933,True,1
77811,90381,False,2
77811,89585,False,3
77848,88587,True,1
77896,80501,True,1
77949,64419,True,1
77990,88059,True,1
77990,88816,False,2
77990,85934,False,3
77990,85250,False,4
78058,84516,True,1
78089,90381,True,1
78089,89585,False,2
78540,88059,True,1
78540,88816,False,2
78540,85934,False,3
78540,85250,False,4
78725,88587,True,1
79082,89585,True,1
79167,86989,True,1
79202,79699,True,1
79252,85288,True,1
79510,88059,True,1
79510,88816,False,2
79510,85934,False,3
79510,85250,False,4
79666,89238,True,1
79666,79699,False,2
79832,88587,True,1
79878,81304,True,1
79878,85250,False,2
79933,90381,True,1
79933,89585,False,2
79995,84315,True,1
79995,72953,False,2
80035,88059,True,1
80035,88816,False,2
80035,85934,False,3
80035,85250,False,4
80132,88587,True,1
80276,88059,True,1
80276,88816,False,2
80276,85934,False,3
80276,85250,False,4
80386,86989,True,1
80513,85897,True,1
80604,85250,True,1
80626,50002,True,1
80959,79991,True,1
80965,53419,True,1
81015,90381,True,1
81015,89585,False,2
81304,85250,True,1
81702,25622,True,1
81702,33972,False,2
82167,85897,True,1
82876,55916,True,1
82876,88587,False,2
82892,53419,True,1
82918,83646,True,1
82918,86501,False,2
82918,87726,False,3
83428,90276,True,1
83428,86256,False,2
83646,86501,True,1
83646,87726,False,2
83828,82393,True,1
83834,88178,True,1
83834,82838,False,2
84163,50729,True,1
84163,84315,False,2
84163,72953,False,3
84315,72953,True,1
84696,85992,True,1
84696,85250,False,2
84985,85250,True,1
85113,82816,True,1
85205,86989,True,1
85248,85250,True,1
85489,73091,True,1
85529,83828,True,1
85529,82393,False,2
85585,90228,True,1
85934,85250,True,1
85992,85250,True,1
86305,86261,True,1
86501,87726,True,1
86529,69741,True,1
86529,75415,False,2
87680,88059,True,1
87680,88816,False,2
87680,85934,False,3
87680,85250,False,4
88059,88816,True,1
88059,85934,False,2
88059,85250,False,3
88176,81572,True,1
88178,82838,True,1
88816,85934,True,1
88816,85250,False,2
89238,79699,True,1
89637,79202,True,1
89637,79699,False,2
89940,87726,True,1
90276,86256,True,1
90381,89585,True,1
