source_gww_id,source_gdw_id,target_gww_id,target_gdw_id,season,hops,direct,window,n_years,fill_share_pct,pair_impact_pct_of_target_runoff,source_delta_storage_mcm,activity_share_pct,drawdown_share_pct,pair_impact_ratio,area_coverage_pct,runoff_coverage_pct,pair_impact_days,target_full_runoff_mcm,source_full_runoff_mcm,signed_storage_change_share_pct
21623,22796,17311,22853,winter,1,1,2011-2015,5,0.706304,1.46151,1.77464,0.478103,1.386568,0.014615,0.53248,0.525639,1.344589,136.171689,0.729769,0.918371
26992,22794,17311,22853,winter,1,1,2011-2015,5,3.043989,5.699051,6.0006,2.002035,2.627506,0.056991,0.53248,0.525639,5.243127,136.171689,0.729769,0.781616
44124,22795,17311,22853,winter,1,1,2011-2015,5,7.985778,17.879408,14.7172,5.726771,18.755151,0.178794,2.021205,1.518024,16.449056,136.171689,2.280723,10.07348
45325,22805,17311,22853,winter,1,1,2011-2015,5,6.366817,17.747009,17.9108,3.896189,45.042083,0.17747,0.97693,0.720639,16.327248,136.171689,1.009965,0.553214
70830,10451,17311,22853,winter,1,1,2011-2015,5,46.544066,79.382338,68.2542,31.525787,53.321079,0.793823,3.318143,2.604002,73.031751,136.171689,3.858944,9.340355
77528,6576,17311,22853,winter,1,1,2011-2015,5,50.004016,55.207834,89.21,29.81927,7.385425,0.552078,55.96254,69.001345,50.791208,136.171689,92.188159,69.913094
64733,22804,17311,22853,winter,2,0,2011-2015,5,23.899111,59.274244,62.3984,10.332768,11.836766,0.592742,0.525348,0.298473,54.532305,136.171689,0.431866,8.197142
76686,10459,17311,22853,winter,2,0,2011-2015,5,31.481777,64.921642,49.79,10.094878,40.030607,0.649216,7.79976,4.517564,59.727911,136.171689,6.587833,-3.424741
23471,22818,17311,22853,winter,3,0,2011-2015,5,0.023859,-0.589714,-0.5015,0.055132,100.0,-0.005897,8.207418,4.728592,-0.542537,136.171689,6.888532,-0.040694
68612,10457,17311,22853,winter,3,0,2011-2015,5,5.670329,21.529766,17.5068,3.049514,14.263661,0.215298,3.896252,2.607577,19.807385,136.171689,3.862751,-0.014573
47377,22814,17311,22853,winter,4,0,2011-2015,5,6.536646,0.566037,1.24,3.019554,15.702083,0.00566,0.946313,0.580154,0.520754,136.171689,0.81828,3.702737
