source_gww_id,source_gdw_id,target_gww_id,target_gdw_id,year,season,hops,direct,source_delta_storage_mcm,source_full_runoff_mcm,target_full_runoff_mcm,pair_impact_ratio,pair_impact_pct_of_target_runoff,pair_impact_days,runoff_coverage_pct,area_coverage_pct,activity_share_pct,drawdown_share_pct,fill_share_pct,signed_storage_change_share_pct
64733,22804,17311,22853,2003,winter,2,0,-67.33,0.114142,76.983312,-0.874605,-87.460514,-80.463673,0.148268,0.525348,23.370552,32.430532,,52.962202
76686,10459,17311,22853,2003,winter,2,0,-38.92,1.933952,76.983312,-0.505564,-50.556412,-46.511899,2.51217,7.79976,13.509311,18.746418,,30.614717
23471,22818,17311,22853,2003,winter,3,0,0.7406,2.020631,76.983312,0.00962,0.962027,0.885065,2.624765,8.207418,0.257066,,0.920176,-0.582561
68612,10457,17311,22853,2003,winter,3,0,-0.129,0.889211,76.983312,-0.001676,-0.167569,-0.154163,1.15507,3.896252,0.044776,0.062135,,0.101472
47377,22814,17311,22853,2003,winter,4,0,-9.68,0.288738,76.983312,-0.125742,-12.574154,-11.568221,0.375065,0.946313,3.359972,4.662521,,7.614349
21623,22796,17311,22853,2004,dry,1,1,-7.997,0.06182,10.445871,-0.765566,-76.556568,-69.666477,0.591809,0.53248,6.995111,7.825106,,8.878581
26992,22794,17311,22853,2004,dry,1,1,3.367,0.06182,10.445871,0.322328,32.232833,29.331878,0.591809,0.53248,2.945172,,27.766782,-3.738175
44124,22795,17311,22853,2004,dry,1,1,-27.031,0.114719,10.445871,-2.587721,-258.772113,-235.482622,1.098227,2.021205,23.644473,26.449973,,30.010869
45325,22805,17311,22853,2004,dry,1,1,0.099,0.073716,10.445871,0.009477,0.947743,0.862446,0.705694,0.97693,0.086597,,0.816428,-0.109914
70830,10451,17311,22853,2004,dry,1,1,8.66,0.216459,10.445871,0.829036,82.903573,75.442252,2.072195,3.318143,7.575049,,71.41679,-9.614669
77528,6576,17311,22853,2004,dry,1,1,-9.407,7.379178,10.445871,-0.900547,-90.054725,-81.949799,70.642055,55.96254,8.228462,9.204798,,10.444018
64733,22804,17311,22853,2004,dry,2,0,-3.47,0.022697,10.445871,-0.332189,-33.218868,-30.22917,0.217283,0.525348,3.035268,3.395413,,3.852529
76686,10459,17311,22853,2004,dry,2,0,-0.49,0.309658,10.445871,-0.046908,-4.690849,-4.268672,2.964408,7.79976,0.428611,0.479468,,0.544017
23471,22818,17311,22853,2004,dry,3,0,-0.1027,0.325696,10.445871,-0.009832,-0.983164,-0.894679,3.11794,8.207418,0.089833,0.100492,,0.114022
68612,10457,17311,22853,2004,dry,3,0,-13.533,0.197527,10.445871,-1.295536,-129.553587,-117.893764,1.890954,3.896252,11.837544,13.242111,,15.024864
47377,22814,17311,22853,2004,dry,4,0,-40.166,0.055492,10.445871,-3.845156,-384.515581,-349.909179,0.531232,0.946313,35.13388,39.302639,,44.593858
21623,22796,17311,22853,2004,pre_monsoon,1,1,0.0,0.06989,16.427396,0.0,0.0,0.0,0.425448,0.53248,0.0,,,-0.0
26992,22794,17311,22853,2004,pre_monsoon,1,1,16.483,0.06989,16.427396,1.003385,100.338483,91.30802,0.425448,0.53248,8.100507,,29.803222,-17.748676
44124,22795,17311,22853,2004,pre_monsoon,1,1,-10.037,0.172049,16.427396,-0.610992,-61.099154,-55.60023,1.047329,2.021205,4.932645,6.773747,,10.807709
45325,22805,17311,22853,2004,pre_monsoon,1,1,0.0,0.081395,16.427396,0.0,0.0,0.0,0.495483,0.97693,0.0,,,-0.0
70830,10451,17311,22853,2004,pre_monsoon,1,1,-43.6,0.304314,16.427396,-2.654103,-265.410293,-241.523367,1.852479,3.318143,21.427051,29.424667,,46.947902
77528,6576,17311,22853,2004,pre_monsoon,1,1,0.0,13.430739,16.427396,0.0,0.0,0.0,81.758175,55.96254,0.0,,,-0.0
64733,22804,17311,22853,2004,pre_monsoon,2,0,-45.81,0.02657,16.427396,-2.788634,-278.86343,-253.765721,0.161744,0.525348,22.513147,30.916146,,49.327601
76686,10459,17311,22853,2004,pre_monsoon,2,0,38.75,0.447052,16.427396,2.358864,235.886442,214.656662,2.721382,7.79976,19.043538,,70.064604,-41.725486
