target_gww_id,target_gdw_id,season,window,n_years,upstream_impact_days,upstream_fill_pct_of_target_runoff,upstream_count,upstream_impact_pct_of_target_runoff,upstream_delta_storage_mcm,upstream_drawdown_pct_of_target_runoff,system_impact_pct_of_target_runoff,upstream_impact_ratio,target_full_runoff_mcm,target_delta_storage_mcm,upstream_drawdown_proxy_mcm,upstream_fill_proxy_mcm,system_delta_storage_mcm,system_impact_ratio,system_impact_days
85250,1762,winter,2016-2021,6,-3019.788447,443.453821,38.0,-3282.378747,-29545.062333,3725.832568,-3290.10998,-32.823787,1354.878387,-35.5,33260.578667,3715.516333,-29580.562333,-32.9011,-3026.901181
85263,1706,dry,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,-324217.352481,0.0,0.631031,-760.746,0.0,0.0,-760.746,-3242.173525,-292471.993667
85263,1706,pre_monsoon,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,334122.53876,0.0,0.406028,527.65,0.0,0.0,527.65,3341.225388,304051.510272
85263,1706,monsoon,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,14266.233769,0.0,9.933794,1366.44,0.0,0.0,1366.44,142.662338,13124.935068
85263,1706,winter,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,-285116.872356,0.0,0.604872,-1067.594,0.0,0.0,-1067.594,-2851.168724,-262307.522567
85263,1706,dry,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,-772831.905147,0.0,0.311462,-1207.344,0.0,0.0,-1207.344,-7728.319051,-699286.295009
85263,1706,pre_monsoon,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,-524916.991226,0.0,0.776956,-580.716,0.0,0.0,-580.716,-5249.169912,-477674.462016
85263,1706,monsoon,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,16287.755684,0.0,13.838827,1483.514,0.0,0.0,1483.514,162.877557,14984.735229
85263,1706,winter,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,-134785.478527,0.0,4.463012,-73.662,0.0,0.0,-73.662,-1347.854785,-124002.640245
85263,1706,dry,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,-415361.981262,0.0,0.674659,-1849.41,0.0,0.0,-1849.41,-4153.619813,-375087.495688
85263,1706,pre_monsoon,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,123851.404389,0.0,3.478164,-465.986,0.0,0.0,-465.986,1238.514044,112704.777994
85263,1706,monsoon,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,49460.199147,0.0,6.248056,1629.164,0.0,0.0,1629.164,494.601991,45503.383215
85263,1706,winter,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,-185553.707032,0.0,0.737314,-239.88,0.0,0.0,-239.88,-1855.53707,-170709.410469
85263,1706,dry,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,-2759126.025421,0.0,0.408606,-2598.954667,0.0,0.0,-2598.954667,-27591.260254,-2488668.918082
85263,1706,pre_monsoon,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,-862738.682164,0.0,1.584392,-719.074833,0.0,0.0,-719.074833,-8627.386822,-785092.200769
85263,1706,monsoon,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,181492.487719,0.0,8.763213,5314.213333,0.0,0.0,5314.213333,1814.924877,166973.088701
85263,1706,winter,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,-837194.044451,0.0,2.787169,-1462.928333,0.0,0.0,-1462.928333,-8371.940445,-770218.520895
85288,36992,dry,2001-2005,5,11.242118,12.417528,2.0,12.417528,10.826,0.0,121.802629,0.124175,100.692506,112.434,0.0,10.826,123.26,1.218026,109.688709
85288,36992,pre_monsoon,2001-2005,5,43.949909,84.470784,2.0,48.296603,120.504,36.174181,91.609383,0.482966,117.811275,71.1962,10.282,130.786,191.7002,0.916094,83.364539
85288,36992,monsoon,2001-2005,5,-230.361376,14.670322,2.0,-250.3928,-262.082,265.063122,-844.260245,-2.503928,119.691775,-412.611,275.186,13.104,-674.693,-8.442602,-776.719425
85288,36992,winter,2001-2005,5,282.542859,307.111803,2.0,307.111803,208.252,0.0,158.219822,3.071118,81.916681,-44.749,0.0,208.252,163.503,1.582198,145.562236
85288,36992,dry,2006-2010,5,-120.764503,129.904106,2.0,-132.026629,-147.95,261.930735,-653.308029,-1.320266,123.905117,-676.466,304.65,156.7,-824.416,-6.53308,-586.958838
85288,36992,pre_monsoon,2006-2010,5,-198.321498,25.918096,2.0,-217.935712,-382.792,243.853808,-581.446387,-2.179357,161.371097,-633.78,420.46,37.668,-1016.572,-5.814464,-529.116212
85288,36992,monsoon,2006-2010,5,-25.919053,3.086059,2.0,-28.172884,-54.988,31.258943,555.769101,-0.281729,214.132633,1337.64,62.746,7.758,1282.652,5.557691,511.307572
85288,36992,winter,2006-2010,5,798.320375,890.602382,2.0,867.739538,901.236,22.862845,948.172069,8.677395,128.105498,47.98,31.968,933.204,949.216,9.481721,872.318304
85288,36992,dry,2011-2015,5,-177.063503,238.646076,2.0,-195.686458,-169.97,434.332534,-733.693105,-1.956865,118.177164,-551.36,483.944,313.974,-721.33,-7.336931,-661.494567
85288,36992,pre_monsoon,2011-2015,5,29.958223,239.334129,2.0,32.921124,-191.026,206.413004,70.825171,0.329211,161.115301,-45.04,432.464,241.438,-236.066,0.708252,64.450905
85288,36992,monsoon,2011-2015,5,-14.709269,133.685142,2.0,-15.988336,66.748,149.673479,-539.050091,-0.159883,179.756452,-739.52,192.598,259.346,-672.772,-5.390501,-495.926084
85288,36992,winter,2011-2015,5,343.359923,614.145387,2.0,373.217308,374.486,240.928079,-24.26547,3.732173,108.315814,-384.22,259.762,634.248,-9.734,-0.242655,-22.324233
85288,36992,dry,2016-2021,6,-267.680021,64.632777,2.0,-297.93626,-356.65,362.569037,-782.78906,-2.979363,108.654867,-616.766667,411.76,55.11,-973.416667,-7.827891,-700.769338
85288,36992,pre_monsoon,2016-2021,6,-2143.644878,88.898246,2.0,-2355.653712,-844.047833,2444.551958,-2602.607917,-23.556537,111.722234,-168.783333,944.082833,100.035,-1012.831167,-26.026079,-2368.373205
85288,36992,monsoon,2016-2021,6,271.801264,406.498248,2.0,295.436156,608.047167,111.062091,455.491879,2.954362,306.0131,523.183333,361.843333,969.8905,1131.2305,4.554919,419.052529
85288,36992,winter,2016-2021,6,618.422907,765.239129,2.0,672.198812,1013.246667,93.040316,969.119931,6.721988,167.873961,608.033333,137.995,1151.241667,1621.28,9.691199,891.590337
85489,1748,dry,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,-101452.211027,0.0,0.908262,-307.66,0.0,0.0,-307.66,-1014.52211,-91288.497601
