target_gww_id,target_gdw_id,year,season,upstream_count,target_full_runoff_mcm,target_delta_storage_mcm,upstream_delta_storage_mcm,system_delta_storage_mcm,upstream_drawdown_proxy_mcm,upstream_fill_proxy_mcm,upstream_impact_ratio,upstream_impact_pct_of_target_runoff,upstream_impact_days,system_impact_ratio,system_impact_pct_of_target_runoff,system_impact_days,upstream_drawdown_pct_of_target_runoff,upstream_fill_pct_of_target_runoff
7201,22855,2024,dry,0,0.092928,-5.3222,0.0,-5.3222,0,0,0.0,0.0,0.0,-57.272348,-5727.234752,-5211.783624,0.0,0.0
7201,22855,2024,pre_monsoon,0,0.625048,4.3424,0.0,4.3424,0,0,0.0,0.0,0.0,6.947301,694.730115,632.204405,0.0,0.0
7201,22855,2024,monsoon,0,2.789878,46.3918,0.0,46.3918,0,0,0.0,0.0,0.0,16.628612,1662.861186,1529.832291,0.0,0.0
7201,22855,2024,winter,0,1.39192,-50.2305,0.0,-50.2305,0,0,0.0,0.0,0.0,-36.087212,-3608.721159,-3320.023466,0.0,0.0
7201,22855,2025,dry,0,0.132478,-0.24832,0.0,-0.24832,0,0,0.0,0.0,0.0,-1.87442,-187.441998,-168.697798,0.0,0.0
7201,22855,2025,pre_monsoon,0,0.787664,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2025,monsoon,0,2.707057,12.76034,0.0,12.76034,0,0,0.0,0.0,0.0,4.713731,471.37311,433.663261,0.0,0.0
7201,22855,2025,winter,0,2.881528,2.7895,0.0,2.7895,0,0,0.0,0.0,0.0,0.968063,96.806273,89.061771,0.0,0.0
8578,22909,2001,dry,0,2.867719,-7.0798,0.0,-7.0798,0,0,0.0,0.0,0.0,-2.468792,-246.879157,-222.191241,0.0,0.0
8578,22909,2001,pre_monsoon,0,6.929869,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8578,22909,2001,monsoon,0,28.30777,1.8102,0.0,1.8102,0,0,0.0,0.0,0.0,0.063947,6.394711,5.883134,0.0,0.0
8578,22909,2001,winter,0,25.361892,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8578,22909,2002,dry,0,2.146035,-1.1206,0.0,-1.1206,0,0,0.0,0.0,0.0,-0.522172,-52.217229,-46.995506,0.0,0.0
8578,22909,2002,pre_monsoon,0,5.83453,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8578,22909,2002,monsoon,0,35.293606,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8578,22909,2002,winter,0,16.839364,1.009,0.0,1.009,0,0,0.0,0.0,0.0,0.059919,5.991913,5.51256,0.0,0.0
8578,22909,2003,dry,0,2.430863,-5.8704,0.0,-5.8704,0,0,0.0,0.0,0.0,-2.414945,-241.494518,-217.345066,0.0,0.0
8578,22909,2003,pre_monsoon,0,9.860668,-4.3614,0.0,-4.3614,0,0,0.0,0.0,0.0,-0.442303,-44.230269,-40.249545,0.0,0.0
8578,22909,2003,monsoon,0,32.403435,-4.0235,0.0,-4.0235,0,0,0.0,0.0,0.0,-0.124169,-12.416894,-11.423542,0.0,0.0
8578,22909,2003,winter,0,23.041935,-3.4673,0.0,-3.4673,0,0,0.0,0.0,0.0,-0.150478,-15.047781,-13.843959,0.0,0.0
8578,22909,2004,dry,0,1.622503,-2.8401,0.0,-2.8401,0,0,0.0,0.0,0.0,-1.750443,-175.044327,-159.290338,0.0,0.0
8578,22909,2004,pre_monsoon,0,7.23907,-2.21899,0.0,-2.21899,0,0,0.0,0.0,0.0,-0.30653,-30.652971,-27.894204,0.0,0.0
8578,22909,2004,monsoon,0,28.483947,-1.48594,0.0,-1.48594,0,0,0.0,0.0,0.0,-0.052168,-5.216763,-4.799422,0.0,0.0
8578,22909,2004,winter,0,8.928991,-0.38743,0.0,-0.38743,0,0,0.0,0.0,0.0,-0.04339,-4.339012,-3.991891,0.0,0.0
8578,22909,2005,dry,0,0.779717,0.37193,0.0,0.37193,0,0,0.0,0.0,0.0,0.477007,47.700658,42.930592,0.0,0.0
8578,22909,2005,pre_monsoon,0,6.051196,0.33891,0.0,0.33891,0,0,0.0,0.0,0.0,0.056007,5.600711,5.096647,0.0,0.0
8578,22909,2005,monsoon,0,33.193266,0.03855,0.0,0.03855,0,0,0.0,0.0,0.0,0.001161,0.116138,0.106847,0.0,0.0
8578,22909,2005,winter,0,17.982041,-0.01673,0.0,-0.01673,0,0,0.0,0.0,0.0,-0.00093,-0.093037,-0.085594,0.0,0.0
8578,22909,2006,dry,0,5.00341,-0.1679,0.0,-0.1679,0,0,0.0,0.0,0.0,-0.033557,-3.355712,-3.020141,0.0,0.0
8578,22909,2006,pre_monsoon,0,9.38616,-0.27124,0.0,-0.27124,0,0,0.0,0.0,0.0,-0.028898,-2.889787,-2.629706,0.0,0.0
8578,22909,2006,monsoon,0,64.993349,-0.29517,0.0,-0.29517,0,0,0.0,0.0,0.0,-0.004542,-0.454154,-0.417822,0.0,0.0
8578,22909,2006,winter,0,19.339008,,0.0,,0,0,0.0,0.0,0.0,,,,0.0,0.0
8578,22909,2007,dry,0,1.623975,,0.0,,0,0,0.0,0.0,0.0,,,,0.0,0.0
8578,22909,2007,pre_monsoon,0,15.471709,,0.0,,0,0,0.0,0.0,0.0,,,,0.0,0.0
8578,22909,2007,monsoon,0,90.915623,,0.0,,0,0,0.0,0.0,0.0,,,,0.0,0.0
8578,22909,2007,winter,0,38.569123,,0.0,,0,0,0.0,0.0,0.0,,,,0.0,0.0
8578,22909,2008,dry,0,3.179605,,0.0,,0,0,0.0,0.0,0.0,,,,0.0,0.0
8578,22909,2008,pre_monsoon,0,8.314473,,0.0,,0,0,0.0,0.0,0.0,,,,0.0,0.0
8578,22909,2008,monsoon,0,42.641465,0.62465,0.0,0.62465,0,0,0.0,0.0,0.0,0.014649,1.464889,1.347698,0.0,0.0
8578,22909,2008,winter,0,36.474264,1.37144,0.0,1.37144,0,0,0.0,0.0,0.0,0.0376,3.760021,3.459219,0.0,0.0
8578,22909,2009,dry,0,4.725475,1.32669,0.0,1.32669,0,0,0.0,0.0,0.0,0.280753,28.075272,25.267745,0.0,0.0
8578,22909,2009,pre_monsoon,0,16.583051,1.1823,0.0,1.1823,0,0,0.0,0.0,0.0,0.071296,7.129568,6.487907,0.0,0.0
8578,22909,2009,monsoon,0,76.337173,0.8145,0.0,0.8145,0,0,0.0,0.0,0.0,0.01067,1.066977,0.981619,0.0,0.0
8578,22909,2009,winter,0,27.199571,0.2296,0.0,0.2296,0,0,0.0,0.0,0.0,0.008441,0.844131,0.7766,0.0,0.0
8578,22909,2010,dry,0,1.915524,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
